model,dataset,experiment_axis,scale_group,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_f1_count,mean_confidence_mean,mean_confidence_std,mean_confidence_min,mean_confidence_max,mean_confidence_count,correct_mean_confidence_mean,correct_mean_confidence_std,correct_mean_confidence_min,correct_mean_confidence_max,correct_mean_confidence_count,wrong_mean_confidence_mean,wrong_mean_confidence_std,wrong_mean_confidence_min,wrong_mean_confidence_max,wrong_mean_confidence_count,confidence_gap_mean,confidence_gap_std,confidence_gap_min,confidence_gap_max,confidence_gap_count,fit_time_seconds_mean,fit_time_seconds_std,fit_time_seconds_min,fit_time_seconds_max,fit_time_seconds_count,predict_time_seconds_mean,predict_time_seconds_std,predict_time_seconds_min,predict_time_seconds_max,predict_time_seconds_count,wall_time_seconds_mean,wall_time_seconds_std,wall_time_seconds_min,wall_time_seconds_max,wall_time_seconds_count,seconds_per_test_sample_mean,seconds_per_test_sample_std,seconds_per_test_sample_min,seconds_per_test_sample_max,seconds_per_test_sample_count,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,training_throughput_mean,training_throughput_std,training_throughput_min,training_throughput_max,training_throughput_count
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,0.8245,0.0,0.8245,0.8245,2,0.6661019523885471,0.0,0.6661019523885471,0.6661019523885471,2,0.6922778844674413,0.0,0.6922778844674413,0.6922778844674413,2,0.8273665187672101,0.0,0.8273665187672101,0.8273665187672101,2,0.8440361100163896,0.0,0.8440361100163896,0.8440361100163896,2,0.7490526840951384,0.0,0.7490526840951384,0.7490526840951384,2,0.0949834259212512,0.0,0.0949834259212512,0.0949834259212512,2,0.25346699998317485,0.015071415379526564,0.2428098999662324,0.2641241000001173,2,0.0307869500120432,0.0001515329665952274,0.0306798000237904,0.030894100000296,2,0.6076597000110269,0.2660059343460232,0.4195650999990903,0.7957543000229634,2,5.131158335340539e-06,2.5255494432534587e-08,5.1133000039650745e-06,5.149016666716003e-06,2,179.119140625,20.536480148913988,164.59765625,193.640625,2,2181655.0418861643,129723.51175217025,2089926.667046872,2273383.4167254567,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.8130454754248967,0.0,0.8130454754248967,0.8130454754248967,2,0.5915686428343406,0.0,0.5915686428343406,0.5915686428343406,2,0.6071743825128472,0.0,0.6071743825128472,0.6071743825128472,2,0.8345258062793538,0.0,0.8345258062793538,0.8345258062793538,2,0.8508585327884401,0.0,0.8508585327884401,0.8508585327884401,2,0.7634965042619514,0.0,0.7634965042619514,0.7634965042619514,2,0.0873620285264887,0.0,0.0873620285264887,0.0873620285264887,2,0.34361530000387575,0.2346702144690116,0.1776784000103362,0.5095521999974153,2,0.0186955000172019,0.015730156006436853,0.0075726000359281,0.0298183999984757,2,0.5162186000161455,0.17157762195309467,0.3948949000332504,0.6375422999990406,2,8.587735423611389e-06,7.225611394780367e-06,3.4784566081434035e-06,1.3697014239079374e-05,2,165.189453125,16.91255789533293,153.23046875,177.1484375,2,694043.82177612,473993.4819702657,358879.8164367215,1029207.8271155184,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.8720379146919431,0.0,0.8720379146919431,0.8720379146919431,2,0.7041585865115276,0.0,0.7041585865115276,0.7041585865115276,2,0.726171593366979,0.0,0.726171593366979,0.726171593366979,2,0.934570844121368,0.0,0.934570844121368,0.934570844121368,2,0.9474501545665972,0.0,0.9474501545665972,0.9474501545665972,2,0.8468007284946234,0.0,0.8468007284946234,0.8468007284946234,2,0.1006494260719736,0.0,0.1006494260719736,0.1006494260719736,2,0.18972679999114916,0.07307609173540436,0.1380541999824345,0.2413993999998638,2,0.0042188499951407495,0.0007237237840948397,0.0037070999997013,0.0047305999905802,2,0.3115292499842326,0.05805834574992761,0.2704757999999856,0.3525826999684796,2,9.99727487000183e-06,1.7149852703669485e-06,8.784597155690316e-06,1.1209952584313344e-05,2,157.955078125,20.735353931122702,143.29296875,172.6171875,2,201686.69493919698,77682.62270736041,146756.78564246633,256616.6042359276,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,0.9675,0.0,0.9675,0.9675,2,0.9675,0.0,0.9675,0.9675,2,0.9673458371384378,0.0,0.9673458371384378,0.9673458371384378,2,0.9910067993222624,0.0,0.9910067993222624,0.9910067993222624,2,0.996671159040672,0.0,0.996671159040672,0.996671159040672,2,0.8223831677049913,0.0,0.8223831677049913,0.8223831677049913,2,0.1742879913356807,0.0,0.1742879913356807,0.1742879913356807,2,2.4686485500021718,0.5647152037316667,2.0693346000043675,2.867962499999976,2,0.0111817499946482,0.002442558962081494,0.0094545999891124,0.012908900000184,2,2.6603410000018357,0.38754344787730594,2.3863064000033773,2.934375600000294,2,2.7954374986620677e-05,6.106397405203754e-06,2.3636499972781165e-05,3.227225000046019e-05,2,200.697265625,20.221596660416854,186.3984375,214.99609375,2,143756.937361146,32885.08936181645,120503.66767348,167010.207048812,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,0.8725,0.0,0.8725,0.8725,2,0.8724999999999999,0.0,0.8724999999999999,0.8724999999999999,2,0.871777208722768,0.0,0.871777208722768,0.871777208722768,2,0.9578671175312924,0.0,0.9578671175312924,0.9578671175312924,2,0.9770543206220716,0.0,0.9770543206220716,0.9770543206220716,2,0.8265664532434124,0.0,0.8265664532434124,0.8265664532434124,2,0.1504878673786591,0.0,0.1504878673786591,0.1504878673786591,2,1.903380700020648,0.3023208172614754,1.6896076000411997,2.1171538000000965,2,0.0138495000193188,0.0004965304092265139,0.0134983999998894,0.0142006000387482,2,2.0550285499978145,0.15548705362104442,1.9450825999956576,2.164974499999971,2,3.4623750048297096e-05,1.2413260230662688e-06,3.374599999972361e-05,3.550150009687058e-05,2,191.34375,19.091883092036785,177.84375,204.84375,2,64702.48690554679,10276.929213332172,57435.60056902548,71969.3732420681,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,0.9475,0.0,0.9475,0.9475,2,0.9475,0.0,0.9475,0.9475,2,0.94700048315746,0.0,0.94700048315746,0.94700048315746,2,0.9822483100145428,0.0,0.9822483100145428,0.9822483100145428,2,0.9895534965448438,0.0,0.9895534965448438,0.9895534965448438,2,0.8504070864438692,0.0,0.8504070864438692,0.8504070864438692,2,0.1391464101009746,0.0,0.1391464101009746,0.1391464101009746,2,1.6509560999869561,0.2675533668275954,1.4617672999738716,1.8401449000000407,2,0.0109630500006687,0.003060711701350849,0.0087988000013865,0.0131272999999509,2,1.7969904500150733,0.12734561791876992,1.70694350003032,1.8870373999998264,2,2.740762500167193e-05,7.651779253377188e-06,2.1997000003466384e-05,3.281824999987748e-05,2,185.470703125,20.122159769312496,171.2421875,199.69921875,2,62849.990608015796,10185.447446113345,55647.79164944984,70052.18956658174,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,0.71,0.0,0.71,0.71,2,0.71,0.0,0.71,0.71,2,0.7107758647139355,0.0,0.7107758647139355,0.7107758647139355,2,0.937862858921887,0.0,0.937862858921887,0.937862858921887,2,0.9532633861037176,0.0,0.9532633861037176,0.9532633861037176,2,0.9001581199594746,0.0,0.9001581199594746,0.9001581199594746,2,0.0531052661442429,0.0,0.0531052661442429,0.0531052661442429,2,2.584179450020258,2.1736622967199986,1.0471681000000217,4.121190800040495,2,0.042098449982177,0.015256465174972268,0.0313105000000177,0.0528863999643363,2,3.0316388000104553,2.638142427201969,1.166190400000005,4.897087200020906,2,0.00010524612495542223,3.8141162937401716e-05,7.827625000004445e-05,0.0001322159999108,2,187.302734375,29.154344044625034,166.6875,207.91796875,2,5748.503182785122,4835.308411301304,2329.423816025618,9167.582549544626,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,0.9625,0.0,0.9625,0.9625,2,0.9625,0.0,0.9625,0.9625,2,0.9626858067264056,0.0,0.9626858067264056,0.9626858067264056,2,0.9859393009465112,0.0,0.9859393009465112,0.9859393009465112,2,0.9947027435789728,0.0,0.9947027435789728,0.9947027435789728,2,0.7610109400466687,0.0,0.7610109400466687,0.7610109400466687,2,0.2336918035323041,0.0,0.2336918035323041,0.2336918035323041,2,2.183939599994119,1.320684124169783,1.250074899988249,3.117804299999989,2,0.01948735000723895,0.011600016024717342,0.0112849000142887,0.0276898000001892,2,2.4494739000160735,1.1985597119603095,1.6019642000319436,3.2969836000002037,2,4.87183750180975e-05,2.900004006179345e-05,2.821225003572181e-05,6.92245000004732e-05,2,195.01171875,13.827252135233817,185.234375,204.7890625,2,215172.59657091898,130120.37157454697,123163.59946004352,307181.5936817944,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,0.77,0.0,0.77,0.77,2,0.7699999999999999,0.0,0.7699999999999999,0.7699999999999999,2,0.775125536874906,0.0,0.775125536874906,0.775125536874906,2,0.9431786429773212,0.0,0.9431786429773212,0.9431786429773212,2,0.9694156698236452,0.0,0.9694156698236452,0.9694156698236452,2,0.8553416400570181,0.0,0.8553416400570181,0.8553416400570181,2,0.1140740297666271,0.0,0.1140740297666271,0.1140740297666271,2,1.7833298499984949,0.5142991973450245,1.4196653999970297,2.1469942999999603,2,0.01331740000159695,0.0013954045199014167,0.0123307000030763,0.0143041000001176,2,1.9224583500210883,0.38345135019631343,1.6513173000421375,2.193599400000039,2,3.3293500003992455e-05,3.488511299753495e-06,3.082675000769086e-05,3.576025000029404e-05,2,198.203125,33.23401871576773,174.703125,221.703125,2,43997.96909203201,12688.690310916045,35025.71012880723,52970.22805525679,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,0.9369369369369368,0.0,0.9369369369369368,0.9369369369369368,2,0.6879227053140097,0.0,0.6879227053140097,0.6879227053140097,2,0.7140228192859772,0.0,0.7140228192859772,0.7140228192859772,2,0.984333217560516,0.0,0.984333217560516,0.984333217560516,2,0.9927568735920388,0.0,0.9927568735920388,0.9927568735920388,2,0.8591817565207481,0.0,0.8591817565207481,0.8591817565207481,2,0.1335751170712907,0.0,0.1335751170712907,0.1335751170712907,2,0.18339399999331354,0.039209353849969014,0.1556688000000576,0.2111191999865695,2,0.0033017499899869497,0.0003164302990961145,0.0030779999797232,0.0035255000002507,2,0.2894438999851445,0.15615633016551994,0.1790246999998999,0.3998630999703891,2,1.4872747702644153e-05,1.425361707640197e-06,1.3864864773528133e-05,1.5880630631760175e-05,2,156.935546875,20.707732572482605,142.29296875,171.578125,2,103943.83318174978,22223.03093827481,88229.77730677722,119657.88905672234,2
